id	ide	totsbill	Party	KMT	DPP	PFP	TSU	male	mainlander	SMD	birthyear	incumbent	Internal Administration Committee	Foreign and national defense committee	Economics Committee	Finance committee	Education and Culture 	Transportation	Judicial and organic laws and statutes	Social Welfare and Environmental Hygiene	Procedure Committee	Discipline Committee	Constitutional Amendment Committee	Expenditure Examination
___	"Ting, Shou-chung"	817	1	1	0	0	0	1	1	1	1954	1	0	0	1	0	0	0	0	0	0	0	1	0
___	"Kung, Wen-Chi"	237	1	1	0	0	0	1	0	1	1957	0	0	0	0	0	1	0	0	0	0	1	0	0
___	"Yu, Mei-Nu"	479	2	0	1	0	0	0	0	0	1955	0	0	0	0	0	0	0	1	0	1	1	1	0
___	"Wang, Ting-Son"	348	1	1	0	0	0	1	0	1	1965	1	0	0	0	0	0	0	1	0	1	0	0	0
___	"Wang, Yu-Min"	526	1	1	0	0	0	0	0	0	1971	0	0	0	0	0	0	0	0	1	1	0	0	0
___	"Wang, Hui-Mei"	576	1	1	0	0	0	0	0	1	1968	0	0	0	1	0	0	0	1	0	0	0	0	1
___	"Wang, Chin-Shih"	217	1	1	0	0	0	1	0	1	1948	0	0	1	0	0	0	1	0	0	0	1	0	0
___	"Tien,Chiu-Chin"	553	2	0	1	0	0	0	0	0	1954	1	0	0	0	0	0	0	0	1	1	1	0	0
___	"Chiang, Chi-Chen"	278	1	1	0	0	0	1	0	1	1972	0	1	1	0	0	0	0	0	0	0	1	1	0
___	"Chiang, Huei-Chen"	752	1	1	0	0	0	0	0	1	1963	0	0	0	0	0	0	0	0	1	1	0	1	0
___	"Ho, Hsin-Chun"	255	2	0	1	0	0	0	0	1	1973	0	0	0	0	0	1	0	0	0	0	1	0	1
___	"Wu, Yu-Jen"	264	1	1	0	0	0	1	0	0	1969	0	0	0	0	0	0	0	0	1	1	0	1	0
___	"Wu,Yu-Sheng"	690	1	1	0	0	0	1	1	1	1958	1	1	0	0	0	0	0	0	0	1	1	1	0
___	"Wu, Yi-Chen"	90	2	0	1	0	0	0	0	0	1970	0	0	0	0	0	0	0	1	0	1	1	0	0
___	"Wu,Ping-Jui"	492	2	0	1	0	0	1	0	0	1966	0	0	0	0	1	0	0	0	0	1	0	1	0
___	"Lu, Yu-Ling"	444	1	1	0	0	0	0	0	1	1961	0	0	0	0	0	1	0	0	0	0	0	0	0
___	"Lu, Hsueh-Chang"	395	1	1	0	0	0	1	0	1	1952	1	0	0	0	0	0	0	1	0	0	1	1	0
___	"Lee, Kun-Tse"	364	2	0	1	0	0	1	0	1	1964	0	0	0	0	0	0	1	0	0	0	1	1	0
___	"Lee, Chun-Yi"	470	2	0	1	0	0	1	0	1	1965	0	1	0	0	0	0	0	0	0	0	1	1	0
